"","Month","Temp"
"1",0,-5.18333
"2",1,-1.65
"3",2,2.49444
"4",3,10.4
"5",4,14.9944
"6",5,21.7167
"7",6,24.7444
"8",7,24.0722
"9",8,18.8611
"10",9,9.16667
"11",10,1.54444
"12",11,-4.00556
"13",12,-7.47778
"14",13,-4.00556
"15",14,3
"16",15,10.9611
"17",16,18.0222
"18",17,22.7278
"19",18,26.2611
"20",19,21.6056
"21",20,18.0222
"22",21,9.78333
"23",22,3.72778
"24",23,-2.77222
"25",24,-6.18889
"26",25,-5.68889
"27",26,-1.93333
"28",27,6.47778
"29",28,13.5389
"30",29,20.9889
"31",30,24.1833
"32",31,22.7278
"33",32,19.7556
"34",33,11.1278
"35",34,3.83889
"36",35,-2.88333
"37",36,-7.42222
"38",37,-6.30556
"39",38,-0.25
"40",39,7.59444
"41",40,15.2167
"42",41,21.3833
"43",42,22.2778
"44",43,22.5611
"45",44,20.7667
"46",45,12.6944
"47",46,3.16667
"48",47,-1.65
"49",48,-2.37778
"50",49,-2.82778
"51",50,-0.644444
"52",51,9.5
"53",52,17.2333
"54",53,22.3944
"55",54,26.2
"56",55,24.6333
"57",56,20.6
"58",57,11.4611
"59",58,4.4
"60",59,-1.14444
"61",60,-2.99444
"62",61,-2.77222
"63",62,3.72778
"64",63,12.6944
"65",64,15.7222
"66",65,22
"67",66,24.2389
"68",67,22.7278
"69",68,19.1944
"70",69,10.9611
"71",70,5.18333
"72",71,-0.866667
"73",72,-4.22778
"74",73,-4.78889
"75",74,-0.25
"76",75,7.65
"77",76,14.9389
"78",77,19.5889
"79",78,24.4667
"80",79,23.85
"81",80,18.4667
"82",81,11.4056
"83",82,2.94444
"84",83,-0.644444
"85",84,-1.59444
"86",85,-1.26111
"87",86,2.10556
"88",87,4.28889
"89",88,13.8167
"90",89,20.15
"91",90,26.8167
"92",91,26.8778
"93",92,20.4278
"94",93,11.2944
"95",94,5.07222
"96",95,-1.59444
"97",96,-2.49444
"98",97,-1.37222
"99",98,-0.194444
"100",99,5.35556
"101",100,13.9833
"102",101,21.2722
"103",102,26.65
"104",103,27.6056
"105",104,19.6444
"106",105,10.4556
"107",106,3.83889
"108",107,-2.15556
"109",108,-4.73333
"110",109,-5.46111
"111",110,2.41667
"112",111,8.82778
"113",112,17.3944
"114",113,19.7556
"115",114,24.4667
"116",115,21.2167
"117",116,19.1389
"118",117,9.55556
"119",118,8.18333
"120",119,3.52222
"121",120,-4.00556
"122",121,-2.66111
"123",122,1.13333
"124",123,9.55556
"125",124,16.9
"126",125,22.8944
"127",126,24.9722
"128",127,21.6056
"129",128,18.5833
"130",129,11.0722
"131",130,0.955556
"132",131,-2.71667
"133",132,-2.55
"134",133,-0.866667
"135",134,3.33889
"136",135,10.4444
"137",136,18.4778
"138",137,23.2722
"139",138,26.1611
"140",139,22.5778
"141",140,18.4167
"142",141,9.23333
"143",142,4.83889
"144",143,-0.877778
"145",144,-5.85
"146",145,-3.47778
"147",146,2.99444
"148",147,9.98333
"149",148,19.2278
"150",149,26.5056
"151",150,26.1611
"152",151,26.5056
"153",152,19.3444
"154",153,10.6778
"155",154,3.16667
"156",155,-2.03333
"157",156,-2.61111
"158",157,-4.17222
"159",158,1.95
"160",159,13.1611
"161",160,18.1889
"162",161,22.2889
"163",162,26.6833
"164",163,24.7167
"165",164,17.7833
"166",165,11.8889
"167",166,3.10556
"168",167,-2.95
"169",168,-1.91667
"170",169,-1.22778
"171",170,4.43889
"172",171,10.2167
"173",172,15.0667
"174",173,23.6167
"175",174,24.3722
"176",175,24.4278
"177",176,20.8444
"178",177,11.3722
"179",178,5.07222
"180",179,-2.9
"181",180,-4.22778
"182",181,-1.33889
"183",182,3.97222
"184",183,10.9667
"185",184,18.2444
"186",185,23.85
"187",186,25.8722
"188",187,23.7333
"189",188,19.4
"190",189,10.7944
"191",190,0.972222
"192",191,-1.05
"193",192,-1.05
"194",193,1.2
"195",194,5.30556
"196",195,8.82778
"197",196,16.9167
"198",197,20.4389
"199",198,22.6944
"200",199,21.7722
"201",200,18.1278
"202",201,11.2556
"203",202,2.41667
"204",203,-1.62778
