"","Day","BOD","TKN","TS","TVS","COD","O2UP"
"1",0,1125,232,7160,85.9,8905,36
"2",7,920,268,8804,86.5,7388,7.9
"3",15,835,271,8108,85.2,5348,5.6
"4",22,1000,237,6370,83.8,8056,5.2
"5",29,1150,192,6441,82.1,6960,2
"6",37,990,202,5154,79.2,5690,2.3
"7",44,840,184,5896,81.2,6932,1.3
"8",58,650,200,5336,80.6,5400,1.3
"9",65,640,180,5041,78.4,3177,0.6
"10",72,583,165,5012,79.3,4461,0.7
"11",80,570,151,4825,78.7,3901,1
"12",86,570,171,4391,78,5002,1
"13",93,510,243,4320,72.3,4665,0.8
"14",100,555,147,3709,74.9,4642,0.6
"15",107,460,286,3969,74.4,4840,0.4
"16",122,275,198,3558,72.5,4479,0.7
"17",129,510,196,4361,57.7,4200,0.6
"18",151,165,210,3301,71.8,3410,0.4
"19",171,244,327,2964,72.5,3360,0.3
"20",220,79,334,2777,71.9,2599,0.9
