Rank,City,State,Population,Date of census/estimate
1,London[2], United Kingdom,"8,615,246",1 June 2014
2,Berlin, Germany,"3,437,916",31 May 2014
3,Madrid, Spain,"3,165,235",1 January 2014
4,Rome, Italy,"2,872,086",30 September 2014
5,Paris, France,"2,273,305",1 January 2013
6,Bucharest, Romania,"1,883,425",20 October 2011
7,Vienna, Austria,"1,794,770",1 January 2015
8,Hamburg[10], Germany,"1,746,342",30 December 2013
9,Budapest, Hungary,"1,744,665",1 January 2014
10,Warsaw, Poland,"1,729,119",31 March 2014
11,Barcelona, Spain,"1,602,386",1 January 2014
12,Munich, Germany,"1,407,836",31 December 2013
13,Milan, Italy,"1,332,516",30 September 2014
14,Sofia, Bulgaria,"1,291,895",14 December 2014
15,Prague, Czech Republic,"1,246,780",1 January 2013
16,Brussels[17], Belgium,"1,175,831",1 January 2014
17,Birmingham, United Kingdom,"1,092,330",30 June 2013
18,Cologne, Germany,"1,034,175",31 December 2013
19,Naples, Italy,"989,845",30 September 2014
20,Stockholm, Sweden,"909,976",31 January 2014
21,Turin, Italy,"898,095",30 September 2014
22,Marseille, France,"852,516",31 December 2012
23,Amsterdam, Netherlands,"813,562",31 May 2014
24,Zagreb, Croatia,"790,017",31 March 2011
25,Valencia, Spain,"786,424",1 January 2014
26,Kraków, Poland,"760,700",31 March 2014
27,Leeds, United Kingdom,"757,655",30 June 2012
28,Łódź, Poland,"709,757",31 March 2014
29,Frankfurt, Germany,"701,350",31 December 2013
30,Riga, Latvia,"701,185",1 January 2014
31,Seville, Spain,"696,676",1 January 2014
32,Palermo, Italy,"677,015",31 July 2014
33,Zaragoza, Spain,"666,058",1 January 2014
34,Athens, Greece,"664,046",24 May 2011
35,Wrocław, Poland,"632,432",31 March 2014
37,Rotterdam, Netherlands,"616,528",31 January 2013
38,Helsinki, Finland,"605,523",28 February 2013
39,Stuttgart, Germany,"604,297",31 December 2013
40,Glasgow, United Kingdom,"596,550",31 December 2013
41,Genoa, Italy,"594,774",31 July 2014
42,Düsseldorf, Germany,"593,682",31 December 2012
42,Dortmund, Germany,"575,944",31 December 2013
43,Essen, Germany,"569,884",31 December 2013
44,Málaga, Spain,"566,913",1 January 2014
45,Copenhagen, Denmark,"559,440",1 January 2013
46,Sheffield, United Kingdom,"557,382",30 June 2012
47,Lisbon, Portugal,"547,631",1 January 2011
48,Poznań, Poland,"547,161",31 March 2014
49,Bremen, Germany,"546,451",31 December 2012
50,Vilnius, Lithuania,"537,152",1 January 2013
51,Leipzig, Germany,"531,562",31 December 2013
52,Dresden, Germany,"530,754",31 December 2013
53,Gothenburg, Sweden,"528,014",31 March 2013
54,Dublin, Ireland,"527,612",10 April 2011
55,Bradford, United Kingdom,"524,619",30 June 2012
56,Hanover, Germany,"514,137",31 December 2012
57,The Hague, Netherlands,"510,909",1 May 2014
58,Manchester, United Kingdom,"510,772",30 June 2012
59,Antwerp, Belgium,"510,610",1 January 2014
60,Edinburgh, United Kingdom,"495,360",30 June 2011
61,Nuremberg, Germany,"495,121",31 December 2012
62,Duisburg, Germany,"486,816",31 December 2012
63,Lyon, France,"484,344",31 December 2010
64,Liverpool, United Kingdom,"469,690",30 June 2012
65,Gdańsk, Poland,"460,354",30 June 2012
66,Toulouse, France,"441,802",31 December 2010
67,Murcia, Spain,"441,354",1 January 2012
68,Tallinn, Estonia,"434,810",1 February 2015
69,Bristol, United Kingdom,"432,451",30 June 2012
70,Bratislava,Slovakia Slovak Republic,"417,389",31 December 2013
71,Szczecin, Poland,"409,211",30 June 2012
72,Palma de Mallorca, Spain,"407,648",1 January 2012
73,Bologna, Italy,"384,202",31 December 2013
74,Las Palmas, Spain,"382,296",1 January 2012
75,Florence, Italy,"377,207",31 December 2013
76,Brno, Czech Republic,"378,327",1 January 2013
77,Bydgoszcz, Poland,"362,286",30 June 2012
78,Bochum, Germany,"362,213",31 December 2012
79,Bilbao, Spain,"351,629",1 January 2012
80,Cardiff, United Kingdom,"348,493",30 June 2012
81,Lublin, Poland,"348,120",30 June 2012
82,Nice, France,"343,304",31 December 2010
83,Wuppertal, Germany,"342,885",31 December 2012
84,Plovdiv, Bulgaria,"341,041",31 December 2013
85,Varna, Bulgaria,"335,819",31 December 2013
86,Alicante, Spain,"334,678",1 January 2012
87,Leicester, United Kingdom,"331,606",30 June 2012
88,Utrecht, Netherlands,"330,772",1 May 2014
89,Córdoba, Spain,"328,841",1 January 2012
90,Bielefeld, Germany,"328,314",31 December 2012
91,Wakefield, United Kingdom,"327,627",30 June 2012
92,Aarhus, Denmark,"326,676",1 October 2014
93,Cluj-Napoca, Romania,"324,576",20 October 2011
94,Coventry, United Kingdom,"323,132",30 June 2012
95,Bari, Italy,"322,751",31 December 2013
96,Thessaloniki, Greece,"322,240",24 May 2011
97,Wirral, United Kingdom,"320,229",30 June 2012
98,Timișoara, Romania,"319,279",20 October 2011
99,Catania, Italy,"315,576",31 December 2013
100,Valladolid, Spain,"311,501",1 January 2012
101,Bonn, Germany,"309,869",31 December 2012
102,Malmö, Sweden,"309,105",31 March 2013
103,Nottingham, United Kingdom,"308,735",30 June 2012
104,Katowice, Poland,"308,269",30 June 2012
105,Kaunas, Lithuania,"306,888",1 January 2013
