Flow1,Flow2,Flow3
1130118,2217628,419489
1105125,2217628,391512
745276,2217628,227725
698220,2217628,230217
778948,2217629,192731
657441,2180888,104412
704892,2217629,98405
650825,2217629,156414
661505,2217628,181736
723555,2167628,273164
628849,2144791,229824
901491,2217629,431055
708744,2217629,198098
664969,2217628,201818
727722,2217628,234215
894259,2256000,254773
632045,2175000,225456
545713,2175000,163656
472565,2204469,99866
629008,2256000,163812
875435,2256000,251370
798031,2236000,243160
855427,2206000,152893
750641,2162828,147112
698580,1953382,120487
698581,2216000,134628
928676,2216000,209510
839423,2256000,253202
803811,2256000,260645
979491,2183000,348075
1134983,2183000,312045
1127974,2110000,364988
1148869,2110000,360969
979649,2110000,353121
1026225,2185000,287679
924309,2256000,244528
1065366,2236000,321025
1131669,2155000,389126
979467,2172000,300299
1016758,1935300,442724
1029468,1828000,464592
1111667,1928000,444500
1150032,2043000,331726
1143708,2006000,362491
928448,2206000,293022
997543,2182000,351009
1031885,2176000,341095
960756,2153000,337462
916246,2174000,280749
1037256,2206000,383594
848258,2206000,354199
795508,2206000,301716
896919,2174000,377318
800269,2172321,221035
959534,2174000,375421
794488,2078628,251007
793249,2177854,136156
749878,2178000,190422
678981,2263947,138782
736377,2269791,126352
1006455,2271000,280616
998189,2271000,329667
659490,2273000,132549
657881,2273000,118460
650186,2273000,91040
590963,2222157,91659
811438,2228090,129090
1029822,2070000,350720
972711,2070000,170310
977971,2175373,212161
937952,2221525,206797
967671,2212372,212700
862956,2175617,260114
976330,2137947,261709
960295,2206679,256627
988651,2252370,259669
928491,2224945,239929
941847,2196135,240256
1090232,2171984,241193
1150720,2046274,381882
1056547,1978661,372473
1049554,2091258,281943
1062105,1939804,270293
1086277,1954676,270951
1093998,2083459,269227
965200,2002446,342557
979961,2094593,337963
991667,2223741,280891
1159942,2288749,253377
1108758,2204597,279122
1094019,2134034,280653
1001897,2136083,280060
976343,2181807,280093
1088114,2082488,278811
1114859,1936832,274898
1118770,1809624,276093
1020479,1809470,285385
995266,1808668,278591
1021819,1817639,277096
1007178,1802672,253331
1068906,1791198,249865
949292,2013554,268688
1003649,2216051,279109
1180091,2173983,268590
1206000,2006320,233522
1160090,2002024,319797
1016575,2089339,285121
1022043,1977066,277716
982459,1930261,218031
974659,1939590,217885
1058844,1914337,211254
1134043,1953059,289693
1126417,1844510,364845
1109726,1644751,225766
1108085,1730873,279219
1092762,1712367,246776
1005945,1793237,289013
973018,1787729,299265
982083,1816850,296471
987544,1873045,299649
825604,2047674,193171
928662,2053104,193435
893220,1877409,214369
969715,1988067,217414
959404,1911769,236264
1035043,2014710,246856
1018788,1894486,227600
1016571,1888758,227601
1164074,1934136,211583
1047131,2032525,41630
1014834,1893498,154906
974156,1938299,241155
988369,1957438,244322
1130579,1896573,212437
1142456,1919954,210549
1093244,2024128,108628
962339,2072109,195943
907220,2110001,215580
931515,2027014,159868
742141,2030457,102540
820922,2132730,147889
788867,2053540,149287
859635,2084111,147879
841219,2088066,148766
774836,1964438,128649
858511,2027436,144769
907736,2175923,180682
1012459,2147473,231123
977921,2114364,229969
1104375,2065406,231012
898245,2116660,169673
1028277,2112532,220280
1048797,2195809,251732
965749,2188173,192884
662603,2210154,150960
656692,2228048,149663
839737,2207972,142131
866968,2141390,203109
817915,2209897,243552
743117,2112391,189861
687468,2069937,170406
840499,2157000,272011
846506,2157000,284144
857002,2153000,241864
914919,2153000,335084
1035608,2153000,391931
1066557,2162000,424528
847957,2157000,385608
793999,2157000,292278
921536,2117000,405031
1098499,2095000,437576
1146343,2091000,449916
1159595,2062000,449302
972709,2091000,345457
529153,2177985,125638
588563,2177778,132643
549638,2169623,134451
701256,2154000,163160
1043064,2154000,418230
1004179,2154000,406965
1057047,2104000,448054
1073564,2104000,448575
1120640,2125000,448476
1131083,2119000,449759
1137356,2102000,431235
1114406,2001000,395218
1020388,2001000,449546
1116104,1901000,443554
987385,2109000,340429
1099863,2109000,449991
1073750,2109000,430146
1107278,2109000,450000
943278,2104000,309556
1033582,2104000,424407
1101343,2104000,427374
947280,2109000,342942
993418,2112000,450000
1034147,2109000,449999
1055974,2106000,441880
1152429,1928000,339426
1156000,1935497,319554
1125768,2110000,415234
1133341,2113000,430560
1020693,2109000,402999
953138,2109000,355533
1036595,2109000,403495
1062598,2119000,449977
1126121,2113000,378281
1075449,2109000,449979
1129877,2109000,438287
1040157,2076000,449997
970411,2071000,449999
1098416,2055000,449848
1139850,1976000,443831
1053234,2076000,332146
1081214,2135000,383132
1046360,2233000,421737
778669,2228000,369681
822059,2228000,376876
914333,2228000,384390
922628,2200000,363749
930669,2233304,375862
772194,2071887,425432
793845,2240000,448595
807873,2238000,445793
888373,2217000,447733
1075278,2067477,448298
1118556,2177496,442790
932000,2212000,407664
933000,2238000,393287
977187,2238000,346202
1131000,2091861,427538
1081568,2121336,430775
1105007,2250708,449941
1034429,2084912,382269
445055,2012139,85160
427358,2034221,76403
439493,2051456,79476
535117,2012619,78690
998699,1935000,449483
932988,2028000,395223
706465,2191935,270816
689941,2118023,273905
665946,2149855,213447
739328,2149751,217590
899064,2188000,385917
823902,2170000,384791
749922,2185000,352859
808278,2200000,289518
676823,2200000,195944
591076,2200000,130701
849650,2055500,307949
993094,2021136,296109
1031988,2050000,396659
998842,2121000,375061
1042357,2125000,362636
1040254,2121000,367504
1024189,2121000,389719
959197,1989279,169336
1009929,2200000,204306
1031915,2190000,320404
1041099,2190000,305123
1050781,2200000,427779
1048146,2220000,331205
1041415,2200000,340587
1020379,2161000,373864
1035223,2161000,439741
949118,2200000,274544
972837,2213000,330708
983046,2200000,322848
1062114,2208000,417901
1074477,2200000,445708
1083650,2200000,438286
1115876,2197558,362901
1105887,2200000,441954
1101539,2200000,394584
883497,2200000,277802
982248,2200000,364765
980547,2200000,367981
897725,2188000,326309
1035948,2092000,441807
1090427,2082000,382523
1059864,2210000,354732
1042640,2200000,401663
997731,2200000,355712
940717,2200000,259125
1090004,2060000,435034
1102111,2112000,409274
1101281,2097000,376636
1049782,2197287,293839
1079283,2200000,349881
947679,2200000,329684
1006866,2120844,380384
994448,2200000,290005
1109628,1971000,431495
1088909,2010000,378073
949270,2200000,269467
1092154,2122040,350358
844126,2200000,289738
865723,2200000,307790
893558,2167397,275315
876424,2091000,347534
804696,2143000,287312
1105611,2135000,394829
1097409,2125000,340345
998842,2100000,315198
966539,2153145,222078
879366,2117514,201425
1056509,2121000,355453
1080101,2068000,383950
1126681,1989000,440228
1038959,2104000,440926
978233,2200000,358042
931982,2200000,330574
1012872,2169000,364767
1098127,2156475,404957
1065423,2169000,422076
1098021,2125440,440370
1074131,2125465,448490
1062706,2122699,438508
1088723,2147664,415772
1004584,2176000,252215
978892,2106646,287453
1025507,2200000,308375
1098210,2200000,439362
1006074,2200000,418758
1037432,2123451,447168
1012906,2128486,439098
1020679,2100000,447745
1083256,2100000,446303
934591,2237628,382045
1027837,2212628,441224
1084506,2213629,343125
1095465,2237629,406963
1106352,2237628,436176
885344,2237628,283362
954567,2237629,335128
975762,2237628,351397
1040039,2220628,335166
1106746,2205628,411831
907642,2212628,414615
693939,2237628,303809
